ID,imie,nazwisko,data_urodzenia,nr_telefonu,email,stan,miasto,kod_pocztowy,ulica,nr_domu,nr_mieszkania
1,JULIAN,SULLIVAN,1981.0-2-14,4422102245,julian.sullivan@pimpmywheels.com,California,Fontana,92336,CABRINI,115,
2,RYAN,BRIDGES,1988.0-1-14,7075234321,ryan.bridges@pimpmywheels.com,California,Torrance,90503,VAN NUYS,17C,21
3,DANE,LOCKE,1964.0-9-8,6576774201,dane.locke@pimpmywheels.com,California,Mecca,92254,SUMMIT VUE,36F,20
4,BROOKLYN,SPRINGER,1986.0-9-8,6197552141,brooklyn.springer@pimpmywheels.com,California,Hanford,93230,ANDREA,12E,64
5,ISABELLE,SALAFIA,2002.0-7-7,9250022355,isabelle.salafia@pimpmywheels.com,California,Roseville,95747,ALLVIEW,82E,22
6,PHAEDRA,SHERMAN,1974.0-1-5,6692522072,phaedra.sherman@pimpmywheels.com,California,Salinas,93905,BEL AIR CREST,437,87
7,JOELIZ,LOWERY,1987.0-4-21,7071242840,joeliz.lowery@pimpmywheels.com,California,La Mesa,91942,CURSON,125,
8,SILAS,PETERSON,1999.0-12-23,9162601053,silas.peterson@pimpmywheels.com,California,Brentwood,94513,HORSE SHOE CANYON,57E,2
9,ARIANA,ROARK,1988.0-2-25,6261546264,ariana.roark@pimpmywheels.com,California,Laguna Hills,92653,SUMMIT VUE,46D,49
10,KLARA,CONNORS,2006.0-9-16,7603222876,klara.connors@pimpmywheels.com,California,Hawthorne,90250,BEL AIR CREST,190,
11,ADALYN,GONZALEZ,1950.0-1-11,4154705285,adalyn.gonzalez@pimpmywheels.com,California,Santa Ana,92707,CRESCENT,489,34
12,LANDREY,WOLLEN,1983.0-1-19,5108730782,landrey.wollen@pimpmywheels.com,California,Arbuckle,95912,LAKE VIEW,89F,96
13,JULIE,HILL,1976.0-9-7,6268177180,julie.hill@pimpmywheels.com,California,Lafayette,94549,LONG BEACH,27E,
14,CLAYTON,GURULE,1966.0-2-16,7074756148,clayton.gurule@pimpmywheels.com,California,Woodland Hills,91367,RIDERWOOD,364,23
15,AUTUMN,HURLEY,1991.0-1-31,5101344577,autumn.hurley@pimpmywheels.com,California,Sacramento,95834,HUNTINGTON,491,96
16,GAGE,BANNERT,1994.0-6-7,7607457457,gage.bannert@pimpmywheels.com,California,Kingsburg,93631,ZAMORA,144,
17,MATTHEW,BALES,2003.0-2-20,5594302300,matthew.bales@pimpmywheels.com,California,Pittsburg,94565,VAN NUYS,396,25
18,ELLA,LONDONO,2006.0-2-30,9497182020,ella.londono@pimpmywheels.com,California,Hayward,94542,BEL AIR CREST,373,
19,REID,COLE,2006.0-5-10,7601283563,reid.cole@pimpmywheels.com,California,Hercules,94547,ALLVIEW,21D,83
20,IDA,SIMMONS,1981.0-10-26,5105446546,ida.simmons@pimpmywheels.com,California,Downey,90241,CHASTAIN,73F,38
21,BECKETT,REYES,1991.0-1-2,6500370585,beckett.reyes@pimpmywheels.com,California,Tracy,95391,WORLD,242,25
22,CAMERON,ROBBINS,1982.0-2-12,6261758882,cameron.robbins@pimpmywheels.com,California,Roseville,95747,VALLEYHEART,25D,
23,CADE,SJOGREN,2002.0-8-18,7077537362,cade.sjogren@pimpmywheels.com,California,Highland,92346,VAN NUYS,377,
24,GEORGE,ANDREWS,1988.0-7-15,6578456611,george.andrews@pimpmywheels.com,California,Watsonville,95076,CHASTAIN,165,
25,JUDE,WESTFALL,2006.0-4-11,5106173002,jude.westfall@pimpmywheels.com,California,San Ramon,94582,CABRINI,97D,78
